Name,ID_SRC,src_RA,src_DEC,ML_FLUX,ML_FLUX_ERR,clust_ID,clus_ID_SRC,clus_RA,clust_DEC,Separation
eFEDS J083959.8+034945,11023,129.99952888757053,3.8292524442060216,1.7306376e-14,4.375769e-15,eFEDS J084011.6+034837,5544,130.0487518310547,3.8103504180908203,189.45140752507493
eFEDS J084016.7+035043,22631,130.0697652324462,3.8453112591099594,1.01702314e-14,3.6217104e-15,eFEDS J084011.6+034837,5544,130.0487518310547,3.8103504180908203,146.7571035422736
eFEDS J084025.2+034845,22657,130.1053708908335,3.8127335935396234,1.126096e-14,3.7315295e-15,eFEDS J084011.6+034837,5544,130.0487518310547,3.8103504180908203,203.55864608735504
eFEDS J084111.8+002812,992,130.2993970435901,0.4702333250666508,1.0841114e-13,1.0459905e-14,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,271.5987405968803
eFEDS J084142.9+002841,8433,130.4291633546172,0.47818354462002366,7.9800404e-14,1.3306792e-14,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,239.75229080097932
eFEDS J084120.4+002339,15160,130.33534637482464,0.39423405101312636,1.20554625e-14,3.7801136e-15,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,226.00936660607908
eFEDS J084115.3+002635,17357,130.31377859928054,0.44316177050703903,9.601199e-15,4.038286e-15,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,205.7055356729647
eFEDS J084132.6+002856,17362,130.38595271792144,0.4824649050158501,1.2350551e-14,3.9427092e-15,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,142.04714011366937
eFEDS J084109.5+002638,19655,130.28976103506926,0.44401147553387066,1.041211e-14,,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,291.9988971287414
eFEDS J084117.5+002912,23009,130.32303128517995,0.48677123450435067,9.020072e-15,3.6601556e-15,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,226.19202005540893
eFEDS J084121.3+002741,26477,130.33902212428038,0.46160269106702273,8.389277e-15,3.3959594e-15,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,127.58393990217282
eFEDS J085246.7+052549,2303,133.19485195706412,5.430373295363121,9.7479825e-14,1.3423698e-14,eFEDS J085256.8+052741,6642,133.23695373535156,5.461465358734131,187.86724529213402
eFEDS J085249.8+052721,6272,133.20755529380497,5.4560758585236115,4.395365e-14,9.661541e-15,eFEDS J085256.8+052741,6642,133.23695373535156,5.461465358734131,107.12609126456898
eFEDS J085310.0+052708,16389,133.29197067817407,5.452278682735392,2.3509367e-14,7.551269e-15,eFEDS J085256.8+052741,6642,133.23695373535156,5.461465358734131,199.91789120561106
eFEDS J085303.1+053150,24722,133.26308173546164,5.530633389405074,1.8966902e-14,7.406755e-15,eFEDS J085256.8+052741,6642,133.23695373535156,5.461465358734131,266.0257857887586
eFEDS J084248.1+002001,5810,130.70070544243205,0.33363191793976693,2.8862404e-14,5.7757817e-15,eFEDS J084253.7+002006,6903,130.72378540039062,0.3350352346897125,83.23988004904628
eFEDS J084249.6+002128,5840,130.7069701762827,0.3580025585841075,2.7420925e-14,5.5883913e-15,eFEDS J084253.7+002006,6903,130.72378540039062,0.3350352346897125,102.47293496775347
eFEDS J084240.6+001816,7055,130.6693943264402,0.3046605488572049,3.1565662e-14,6.094239e-15,eFEDS J084253.7+002006,6903,130.72378540039062,0.3350352346897125,224.26925763647571
eFEDS J084244.7+001617,11701,130.68633219587466,0.2714419828599289,1.7054593e-14,4.5232762e-15,eFEDS J084253.7+002006,6903,130.72378540039062,0.3350352346897125,265.6888967138927
eFEDS J084258.3+002454,25220,130.74304879970356,0.4151184247926061,8.9696605e-15,3.496875e-15,eFEDS J084253.7+002006,6903,130.72378540039062,0.3350352346897125,296.52245085639373
eFEDS J083933.8-014044,356,129.89085360332194,-1.679011853257376,1.038079e-12,5.74211e-14,eFEDS J083930.3-014348,6979,129.8763427734375,-1.7301924228668213,191.5060784716666
eFEDS J083928.3-014022,357,129.8682322018294,-1.6729309450315994,5.1242732e-14,9.843753e-15,eFEDS J083930.3-014348,6979,129.8763427734375,-1.7301924228668213,208.1970670511649
