Name,ID_SRC,ID_hard,RA_1,DEC_1,RA_CORR,DEC_CORR,ML_FLUX,ML_FLUX_ERR,clust_ID,clus_ID_SRC,clus_RA,clust_DEC,source_id,ra_2,dec_2,separation_2,matches,GroupID,GroupSize,Separation
eFEDS J090244.9+043648,1059,-99,135.68717279892488,4.6135156337226695,135.68732412163004,4.6133865608491975,8.422461E-14,9.1848805E-15,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,580151782774161536,135.66220092773438,4.662044525146484,254.79164123535156,3,8,9,278.04533561003177
eFEDS J090255.7+044346,3026,-99,135.73201832574824,4.729745083993325,135.73217666465666,4.729613234527429,4.9620803E-14,8.06749E-15,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,580151782774161536,135.66220092773438,4.662044525146484,254.79164123535156,3,8,9,190.38471176884698
eFEDS J090248.5+044005,4121,-99,135.7020745737502,4.668235325135512,135.70222919924637,4.668104945069412,2.1721767E-13,3.1350427E-14,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,580151782774161536,135.66220092773438,4.662044525146484,254.79164123535156,3,8,9,110.06660763382209
eFEDS J090255.5+044036,4348,-99,135.7315106522661,4.676861826088039,135.7316657985034,4.676731239944416,6.8037E-14,1.1337054E-14,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,580151782774161536,135.66220092773438,4.662044525146484,254.79164123535156,3,8,9,0.024628853875397014
eFEDS J090302.8+044341,19282,-99,135.76175470697794,4.7282900376902575,135.76191295803395,4.728158222983802,1.1201056E-14,4.1901674E-15,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,580151782774161536,135.66220092773438,4.662044525146484,254.79164123535156,3,8,9,214.6126083179578
eFEDS J090302.7+044056,20709,-99,135.76143393761433,4.682584268648156,135.7615894292975,4.682453545801738,1.4121627E-14,4.7147065E-15,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,580151782774161536,135.66220092773438,4.662044525146484,254.79164123535156,3,8,9,109.34866948995726
eFEDS J090238.3+044306,24080,-99,135.6597257906145,4.718615567987494,135.6598834575597,4.71848398439337,9.660787E-15,3.897658E-15,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,580151782774161536,135.66220092773438,4.662044525146484,254.79164123535156,3,8,9,298.18060161392674
eFEDS J090250.4+043655,28924,-99,135.7101808218561,4.615653567899136,135.71033227359126,4.615524443952792,7.85434E-15,3.257907E-15,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,580151782774161536,135.66220092773438,4.662044525146484,254.79164123535156,3,8,9,233.25383657192128
eFEDS J090305.0+043852,32468,-99,135.7707939683459,4.648100687752065,135.7709473784725,4.64797078868008,7.33671E-15,3.2425812E-15,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,580151782774161536,135.66220092773438,4.662044525146484,254.79164123535156,3,8,9,174.90737332798335
eFEDS J084131.5-005217,219,216,130.38173978372342,-0.8714623168283577,130.3815618015899,-0.8714603596730113,2.469646E-13,1.5770698E-14,eFEDS J084135.7-005048,4430,130.3988494873047,-0.8467797040939331,3073402146600864768,130.38204956054688,-0.8716859817504883,108.1551284790039,3,1,4,108.47485464250693
eFEDS J084126.1-005200,220,-99,130.35901509224615,-0.8668427881652696,130.3588373872771,-0.8668409413653301,1.1564743E-14,4.397312E-15,eFEDS J084135.7-005048,4430,130.3988494873047,-0.8467797040939331,3073402146600864768,130.38204956054688,-0.8716859817504883,108.1551284790039,3,1,4,161.12014587623494
eFEDS J084135.7-005048,4430,-99,130.3990242963471,-0.8467810648821357,130.39884779502881,-0.8467796973344746,6.121996E-14,9.4254565E-15,eFEDS J084135.7-005048,4430,130.3988494873047,-0.8467797040939331,3073402146600864768,130.38204956054688,-0.8716859817504883,108.1551284790039,3,1,4,0.006091576421572217
eFEDS J084126.7-004920,14798,-99,130.36144609901947,-0.8224043402590884,130.36127106019487,-0.8224035550442933,1.3864973E-14,4.2797034E-15,eFEDS J084135.7-005048,4430,130.3988494873047,-0.8467797040939331,3073402146600864768,130.38204956054688,-0.8716859817504883,108.1551284790039,3,1,4,161.23962352035053
eFEDS J091431.6+010910,4637,-99,138.63186386156121,1.1528605979295412,138.63180723546452,1.1528141962597018,5.5110552E-14,8.7675355E-15,eFEDS J091431.6+010910,4637,138.63180541992188,1.1528141498565674,3843457415899140864,138.63340759277344,1.1534518003463745,6.195739269256592,2,19,2,0.0065367654903468
