source_id,ra,dec,redshift_qsoc,classlabel_dsc
581293037188381824,132.1330228674448,3.5932607004084005,1.9467968,quasar
581293174627311104,132.0399467994686,3.568638907253057,3.2202182,quasar
581294480297346048,131.897615247128,3.540369149506057,1.3405026,quasar
581296473162221952,132.00496072075765,3.5967265609686865,1.4319052,star
581296473162413952,132.00402311303685,3.5982102006786976,1.2828009,quasar
581299191876488064,131.7154483656882,3.4923763534052963,0.7902766,star
581299531179123200,131.68053642831842,3.5217836697264535,3.2146163,star
581303723066995456,131.64934427733954,3.5748934054175834,5.5706286,quasar
581305063096833664,131.57183865867742,3.624285733799987,2.3853908,star
581307468278505600,131.83026981054712,3.6051007794500136,5.3959694,star
581308155473311232,131.8989549615466,3.659516422505961,1.6108521,quasar
581309151905740928,131.8400191556905,3.683093403745814,1.9491941,quasar
581309151908144640,131.83822691624803,3.687126490724662,1.0204039,star
581310285777134592,131.9929977254251,3.729267311193036,5.4925036,quasar
581310354496610560,131.97949024296742,3.7270144851409155,0.08750767,quasar
581313756110733184,131.73712226348272,3.774210902425896,4.539259,star
581316504889359616,131.11566183950353,3.32333502417423,1.927544,quasar
581316784062712320,131.18422523703902,3.334389997744636,2.4836023,quasar
581317295163343360,131.08032765866216,3.3313884017926747,2.8565016,star
581317947998380928,131.13127916704852,3.384505420976352,0.83723694,star
581320220036638080,131.2500801116667,3.46650462401753,0.8333775,quasar
581324068327573888,131.11452238965768,3.5067346563643715,1.670974,quasar
581324132752033920,131.11040337762742,3.523379454982484,0.9235133,star
581325300983110016,131.3021611223538,3.4686189313416325,0.5382707,star
581328118481723776,131.4248708187823,3.5917954024762633,0.5995282,star
581329286712857728,131.4152203717644,3.6396368706047952,0.086831115,star
581329836468622080,131.23207544975145,3.5603616703637466,,star
581329973907579776,131.2818694055751,3.567803058025291,1.1763353,galaxy
581332211585717504,131.34105540456162,3.631763963051516,0.7013156,star
581332417743977472,131.3278520815603,3.6448538145687204,0.47551352,quasar
581333860853196672,130.947443075147,3.4604017883772786,0.4302448,quasar
581335334026026624,130.92543626484337,3.528580943911223,2.620017,quasar
581335922436677120,130.9484731146344,3.5710301252592225,0.97498494,star
581336399177923328,131.05140499123604,3.551826522175014,2.292498,star
581336880215000320,131.05452137861369,3.582013903171839,1.7283388,quasar
581339908166972800,130.85876254426472,3.608019090391717,0.4281513,quasar
581340591066024192,130.96849814643582,3.6144827804475486,0.11043429,star
581341346981448448,130.9943393519184,3.664018793940571,,star
581342278989769088,130.98047692407977,3.699830785657589,6.0996532,quasar
581344439359913728,131.15280294464205,3.6940461262449418,,galaxy
581344679875698944,131.1383020872682,3.7153032291158135,0.34253553,quasar
581348120144429440,131.01436207254315,3.7121240105497884,1.2867919,star
581352376457071872,131.53938092652066,3.6859513905661885,1.8421248,quasar
581356606999777792,131.41103942488894,3.7246252199472623,2.8562665,quasar
581357633497105536,131.4138306036311,3.7707995733805637,,star
581358733008760192,131.54301295143685,3.808934356869917,2.5139635,quasar
581359626361964800,131.48803877447224,3.820573065649651,0.29950222,star
581361172549701760,131.71102756931867,3.8256940348449437,4.3055196,star
581361692240300416,131.61345899492528,3.817652356253378,,star
581362409500285184,131.75797391439355,3.8329853634810847,2.167283,quasar
581362821817156608,131.75866880680226,3.867210332952417,4.569304,galaxy
581364131781676160,131.7511971155954,3.9038267280660106,5.8075743,star
581366674402605440,131.58484554614824,3.9324575576820755,1.414416,quasar
581367254223465728,131.65080901721979,3.9380367164693224,2.8520453,quasar
581367666540285184,131.66840366962907,3.9550247477459837,2.5588415,star
581368323669772800,131.63565146014457,3.97456651707499,2.4951668,quasar
581370037362702336,131.3550674315794,3.8407377403488443,2.4985385,star
581370209161367936,131.2849735337798,3.798293517254997,,star
581371343032765568,131.42748643389152,3.8504096134825754,0.56287265,quasar
581374401049509504,131.256993717324,3.895515972911979,0.08539337,quasar
581375775439055616,131.32510444746936,3.917269074722831,1.8831223,quasar
581377252907836672,131.31369521824467,3.9753579525160423,0.5856925,quasar
581380929399865728,131.60919202933943,4.0429741997761885,2.0583627,quasar
581381479155678976,131.53344058149494,4.038900090491111,2.9632096,quasar
581383162782916352,131.4494820055848,4.047145541490441,0.6621573,quasar
581383953056848256,131.42547821640895,4.061168834393586,0.9968427,quasar
581385430525614720,131.52550717537562,4.12882003958892,2.5922182,quasar
581386564395860224,132.18577694204498,3.5992937941505283,1.6445051,star
581387285950693504,132.25570283007897,3.660042190386907,2.8702953,quasar
581392508630642816,132.06815222061635,3.7493294551092053,1.224594,quasar
581392512926201088,132.06103816168465,3.7500331342368747,0.24508986,quasar
581392714789080064,132.10060461473216,3.7617762617787367,0.70845467,quasar
581396082044380928,132.44049207259312,3.814195409732006,4.5187535,quasar
581397559512623616,132.44605267084256,3.8196671595060008,2.5880353,star
581399071341131136,132.4165524256051,3.891753718895471,1.6572511,quasar
581399140060613120,132.39229632852513,3.90161172335797,5.391523,quasar
581402644753944704,132.42747352972626,3.9461852119833085,2.542051,quasar
581402782192896896,132.3878640057519,3.944975691467298,2.7555757,quasar
581404500179347840,131.97751387531008,3.7756276456780693,1.0068257,quasar
581406836641593600,132.09268770228599,3.8613235481156236,2.3527725,quasar
581408249687718528,132.1193820211798,3.9356314380338286,2.0578792,star
